S/O No.,S/O Line,Main Batch Plant,Schedule Date,Sales Name,Customer ID,Customer Name,Project ID,Project Location,Project Adress,Project Tel,Product Code,Delivered / Order Volume (M3),1-24Hr,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,UnLoading Method,Term,Remark,Reason,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Of,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Payment,,,
PLANT: R41CTP - Plant Citeureup Bogor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SO03-IDM210800376,1,Y,03/09/2021,ANDRY CHRISTIANTO,CU00302,PT PULAUINTAN BAJAPERKASA KONSTRUKSI,DPPBA00074,JL RAYA BOGOR NO 3 CIMANDALA SUKARAJA,BOGOR    , ,40PX12A06P3R,1055.05 ,56.0,,,,,,,,,,,,,,14.00,14.00,14.00,14.00,,,,,,,,MANUAL,C3000D,,,
SO03-IDM210600374,1,Y,03/09/2021,ANDRY CHRISTIANTO,CU00302,PT PULAUINTAN BAJAPERKASA KONSTRUKSI,DPPBA00074,JL RAYA BOGOR NO 3 CIMANDALA SUKARAJA,BOGOR    , ,M5PXXXS06XXX,25.00 ,3.0,,,,,,,,,,,,,,3.00,,,,,,,,,,,MANUAL,C3000D,,,
SO03-IDM210700357,1,Y,03/09/2021,ANDRY CHRISTIANTO,CU00302,PT PULAUINTAN BAJAPERKASA KONSTRUKSI,DPPBA00074,JL RAYA BOGOR NO 3 CIMANDALA SUKARAJA,BOGOR    , ,30PX12A06GAP,418.97 ,7.0,,,,,,,,,,,,,,,,,7.00,,,,,,,,MANUAL,C3000D,,,
SO03-IDM210700358,1,Y,03/09/2021,ANDRY CHRISTIANTO,CU00302,PT PULAUINTAN BAJAPERKASA KONSTRUKSI,DPPBA00074,JL RAYA BOGOR NO 3 CIMANDALA SUKARAJA,BOGOR    , ,LCPX12A06XXX,239.86 ,7.0,,,,,,,,,,,,,,,,,,7.00,,,,,,,MANUAL,C3000D,,,
SO02-IDM210800242,1,Y,03/09/2021,ANDRY CHRISTIANTO,CU04589,PT. WIRA JASA PERSADA,DPWJP00002,PEMBANGUNAN JALUR GANDA KA KM 1+600 SD 4+200 DANPEMBANGUNAN BH 22,ANTARA PALEDANG - BATUTULIS LINTAS BOGOR - SUKABUMI - PADALARANG    , ,35BX18A06R1X,48.00 ,20.0,,,,,,,,,,,7.00,7.00,6.00,,,,,,,,,,,,MANUAL,C0000E,,,
SO03-IDM200900039,1,Y,03/09/2021,FERDY WIDASMARA,CU00337,PT TATAMULIA NUSANTARA INDAH,DPTNI00039,SOUTH SIDE APARTEMENT,DEPOK    , ,LCFV12A06R1G,319.50 ,9.0,,,,,,,,,,,,6.00,3.00,,,,,,,,,,,,MANUAL,C3000C,,,
SO03-IDM210800491,1,Y,03/09/2021,LUDI PURNAMA,CU01781,PT PAGAR BATU LESTARI,DPPBL00004,PODOMORO GOLF VIEW,CIMANGGIS    , ,30FI08C06XXX,25.00 ,10.0,,,,,,,,,7.00,3.00,,,,,,,,,,,,,,,MANUAL,C4500D,,,
SO03-IDM210800464,1,Y,03/09/2021,DEDE JUNAEDI,CU04497,CV. SURYA PRATAMA INDONESIA,DPSPT00012,CBD CIBUBUR,CIBUBUR    , ,22PX12A06XXX,18.50 ,18.5,,,,,,,,,7.00,7.00,4.50,,,,,,,,,,,,,,MANUAL,C3000D,,,
SO02-IDM210800400,1,Y,03/09/2021,ANDRY CHRISTIANTO,CU04589,PT. WIRA JASA PERSADA,DPWJP00002,PEMBANGUNAN JALUR GANDA KA KM 1+600 SD 4+200 DANPEMBANGUNAN BH 22,ANTARA PALEDANG - BATUTULIS LINTAS BOGOR - SUKABUMI - PADALARANG    , ,30PX12A06XXX,79.00 ,10.0,,,,,,,,,,7.00,3.00,,,,,,,,,,,,,,MANUAL,C0000E,,,
