S/O No.,S/O Line,Main Batch Plant,Schedule Date,Sales Name,Customer ID,Customer Name,Project ID,Project Location,Project Adress,Project Tel,Product Code,Delivered / Order Volume (M3),1-24Hr,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,1.0,2.0,3.0,4.0,5.0,6.0,UnLoading Method,Term,Remark,Reason,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Of,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Payment,,,
PLANT: R01JAT - Jati Asih,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SO02-IDM210600416,1,Y,09/07/2021,FERDY WIDASMARA,CU04660,PT. PRIMA SOLUSI INTEGRA,DPPSI00044,PT PRIMA SOLUSI INTEGRA. GUDANG PSI JL ARTERRI JORR JATIWARNA RT 002 RW 003,JATI MELATI PONDOK MELATI KOTA BEKASI    , ,BC25XXA11XXX,22.00 ,8.0,,,8.00,,,,,,,,,,,,,,,,,,,,,,MANUAL,C0000E,,,
SO03-IDM210700011,1,Y,09/07/2021,FERDY WIDASMARA,CU00827,PT DELTA BAJA MASA,DPDBM00019,PABRIK BOSCO JL SATOPATI NO 77 RT 004 RW 002 BANTAR GEBANG,KOTA BEKASI JAWA BARAT 17151    , ,30PX12A06GAP,997.00 ,100.0,,21.00,21.00,21.00,21.00,16.00,,,,,,,,,,,,,,,,,,,CPS,C3000D,,,
SO03-IDM210700097,1,Y,09/07/2021,FERDY WIDASMARA,CU04661,PT. RAJAWALI BANGUN RAYA INDONESIA,DPRBR00002,JL KALIABANG NO 10 PERWIRA KEC BEKASI UTARA,KOTA BEKASI JAWA BARAT 17122    , ,25FI10A06XXX,98.00 ,49.0,,,,,,,,,14.00,14.00,14.00,7.00,,,,,,,,,,,,,MANUAL,C3000D,,,
SO03-IDM210600287,1,Y,09/07/2021,FERDY WIDASMARA,CU00361,PT WIJAYA KUSUMA CONTRACTORS,DPWKC00012,WORKSHOP WKC,JATIASIH BEKASI    , ,25MX12A06XXX,35.50 ,21.0,,7.00,7.00,7.00,,,,,,,,,,,,,,,,,,,,,MANUAL,C3000D,,,
SO03-IDM210400124,1,Y,09/07/2021,DWI NOVIYANTI,CU04558,ADHI-NINDYA KSO,DPANK00003,PENGENDALIAN BANJIR KALI BEKASI PAKET 1,KOTA BEKASI ANDUNG JAWA BARAT    , ,22PX12A06XXX,545.50 ,35.0,,,,,,,,7.00,7.00,,,7.00,7.00,7.00,,,,,,,,,,,MANUAL,C3000D,,,
SO03-IDM210400126,1,Y,09/07/2021,DWI NOVIYANTI,CU04558,ADHI-NINDYA KSO,DPANK00003,PENGENDALIAN BANJIR KALI BEKASI PAKET 1,KOTA BEKASI ANDUNG JAWA BARAT    , ,30BX18A06XXX,1211.50 ,42.0,,,7.00,7.00,7.00,7.00,7.00,7.00,,,,,,,,,,,,,,,,,MANUAL,C3000D,,,
SO03-IDM210700036,1,Y,09/07/2021,DEDE JUNAEDI,CU02666,PT JAYA TEKNIK PONDASI,DPJTP00003,WORKSHOP JAYA TEKNIK PONDASI. JL CARINGIN NO 149 KAMPUNG RAWA ROKO,BOJONG RAWA LUMBU BEKASI    , ,50PX12A06PTP,20.00 ,10.0,,,,,5.00,5.00,,,,,,,,,,,,,,,,,,,MANUAL,C3000D,,,
SO03-IDM210700108,1,Y,09/07/2021,DEDE JUNAEDI,CU04616,PT. STRADA CAHYA GEMILANG,DPSCG00039,CV CIBALAGUNG INDAH PERSADA PROYEK PENGECORAN GUDANG BLOK 41,PT RUSLIN VINILON SAKTI BEKASI    , ,LCPX12A06XXX,70.00 ,14.0,,14.00,,,,,,,,,,,,,,,,,,,,,,,MANUAL,C3000D,,,
