S/O No.,S/O Line,Main Batch Plant,Schedule Date,Sales Name,Customer ID,Customer Name,Project ID,Project Location,Project Adress,Project Tel,Product Code,Delivered / Order Volume (M3),1-24Hr,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,UnLoading Method,Term,Remark,Reason,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Of,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Payment,,,
PLANT: R01JAT - Jati Asih,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SO03-IDM210700262,1,Y,05/08/2021,FERDY WIDASMARA,CU04677,PT. MITRA SETYA UTAMA,DPMSU00036,REKON GT PASAR REBO,GT PASAR REBO    , ,VCTB,51.50 ,25.0,,,,,,,,,,,,,,,,,,,7.00,7.00,7.00,4.00,,,MANUAL,C3000D,,,
SO03-IDM210700180,1,Y,05/08/2021,FERDY WIDASMARA,CU04660,PT. PRIMA SOLUSI INTEGRA,DPPSI00044,PT PRIMA SOLUSI INTEGRA. GUDANG PSI JL ARTERRI JORR JATIWARNA RT 002 RW 003,JATI MELATI PONDOK MELATI KOTA BEKASI    , ,BC25XXA11XXX,25.00 ,14.0,,,,,,,,,,,,7.00,7.00,,,,,,,,,,,,MANUAL,C3000D,,,
SO03-IDM210700181,1,Y,05/08/2021,FERDY WIDASMARA,CU04660,PT. PRIMA SOLUSI INTEGRA,DPPSI00044,PT PRIMA SOLUSI INTEGRA. GUDANG PSI JL ARTERRI JORR JATIWARNA RT 002 RW 003,JATI MELATI PONDOK MELATI KOTA BEKASI    , ,BC14XXC11XXX,34.00 ,7.0,,,,,,,,,,,7.00,,,,,,,,,,,,,,MANUAL,C3000D,,,
SO02-IDM210700409,1,Y,05/08/2021,FERDY WIDASMARA,CU04698,PT. TAMADO KONSTRUKSINDO SELARAS,DPTKS00005,PEKERJAAN PEMELIHARAAN JALAN OPERASIONAL TPST BANTARGEBANG,BEKASI    , ,45RX07A06XXX,500.00 ,49.0,,,,,,,,,,,,,,,,,,7.00,7.00,7.00,7.00,7.00,7.00,7.00,MANUAL,C0000E,,,
SO02-IDM210700410,1,Y,05/08/2021,FERDY WIDASMARA,CU04698,PT. TAMADO KONSTRUKSINDO SELARAS,DPTKS00005,PEKERJAAN PEMELIHARAAN JALAN OPERASIONAL TPST BANTARGEBANG,BEKASI    , ,LCFI12A06XXX,193.00 ,21.0,,,,,,,,,,,7.00,7.00,7.00,,,,,,,,,,,,MANUAL,C0000E,,,
SO03-IDM210700413,1,Y,05/08/2021,DEDE JUNAEDI,CU00153,PT BANGUN MENARA ABADI,DPBMA00070,KW29. KOTA WISATA CLUSTER MIAMI BLOK SL2/9,CIBUBUR    , ,22FI14A06XXX,20.00 ,20.0,,,,,,,,,14.00,6.00,,,,,,,,,,,,,,,CPS,C3000D,,,
SO03-IDM210700373,1,Y,05/08/2021,DEDE JUNAEDI,CU02175,PT SARDO TAMA ABADI,DPSTA00053,INFRA AUCKLAND THP 3 PROYEK METLAND TRANSYOGI,CILEUNGSI    , ,25FI12A06XXX,109.00 ,35.0,,,,,,,,,,7.00,7.00,7.00,7.00,7.00,,,,,,,,,,,MANUAL,C3000D,,,
SO03-IDM210700368,1,Y,05/08/2021,DEDE JUNAEDI,CU02666,PT JAYA TEKNIK PONDASI,DPJTP00003,WORKSHOP JAYA TEKNIK PONDASI. JL CARINGIN NO 149 KAMPUNG RAWA ROKO,BOJONG RAWA LUMBU BEKASI    , ,50PX12A06PTP,45.00 ,10.0,,,,,,,,,,,,5.00,5.00,,,,,,,,,,,,MANUAL,C3000D,,,
SO03-IDM210700253,1,Y,05/08/2021,DEDE JUNAEDI,CU04558,ADHI-NINDYA KSO,DPANK00003,PENGENDALIAN BANJIR KALI BEKASI PAKET 1,KOTA BEKASI ANDUNG JAWA BARAT    , ,22PX12A06XXX,1902.50 ,35.0,,,,,,,,,,,,,,7.00,7.00,7.00,7.00,7.00,,,,,,,MANUAL,C3000D,,,
SO03-IDM210700254,1,Y,05/08/2021,DEDE JUNAEDI,CU04558,ADHI-NINDYA KSO,DPANK00003,PENGENDALIAN BANJIR KALI BEKASI PAKET 1,KOTA BEKASI ANDUNG JAWA BARAT    , ,30BX18A06XXX,2910.50 ,102.0,,,,,,,,,,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,21.00,21.00,,MANUAL,C3000D,,,
SO02-IDM210800030,1,Y,05/08/2021,DEDE JUNAEDI,CT04920,BP RUSWANDI (NIK 3275052002750016),DRRWI00002,PERUMAHAN KEMANG PRATAMA 1 JL PRATAMA VII BLOK X,BEKASI    , ,22PX12A06XXX,7.00 ,7.0,,,,,,,,,,7.00,,,,,,,,,,,,,,,MANUAL,C3000D,,,
SO03-IDM210800050,1,Y,05/08/2021,DEDE JUNAEDI,CU02492,PT BANGUN KREASI ESTIKA,DPBKE00030,PERUMAHAN METLAND TRANSYOGI CLUSTER AUCKLAND BLOK TJ 3A/29 JL RAYA CILEUNGSI,SETU SERANG KM2 CILEUNGSI BOGOR 16820    , ,22FI12A06XXX,12.00 ,12.0,,,,,,,,,,7.00,5.00,,,,,,,,,,,,,,MANUAL,C3000D,,,
SO02-IDM210800040,1,Y,05/08/2021,DEDE JUNAEDI,CU04690,PT. CITRA KOLOSAL ABADI,DPCKA00043,MASJID RSUD BEKASI,BEKASI    , ,30FU12A06XXX,7.00 ,7.0,,,,,,,,,,,7.00,,,,,,,,,,,,,,MANUAL,C3000D,,,
SO02-IDM210800046,1,Y,05/08/2021,DEDE JUNAEDI,CU04261,PT BUMI PERSADA KONSTRUKSI,DPBPK00246,LOCO. BP DONI JL MANDOR DEMONG PERUM GRIYA MITRA MUSTIKA BLOK D NO 5,BEKASI    , ,30PX12A06XXX,6.00 ,6.0,,,,,,,,,3.00,3.00,,,,,,,,,,,,,,,MANUAL,C0000E,,,
SO08-IDM210800005,1,Y,05/08/2021,DEDE JUNAEDI,CU04707,PT. AGRA SENA PRAKASA,DRASP00015,PEMBANGUNAN GEDUNG ZAM ZAM ASRAMA HAJI BEKASI,BEKASI    , ,35FI12A06GAP,4.00 ,3.0,,,,,,,,,3.00,,,,,,,,,,,,,,,,TRIAL,C3000A,,,
SO02-IDM210700325,1,Y,05/08/2021,DEDE JUNAEDI,CU04687,PT. ADELGUNA REKAYASA TEKNIK INDUSTRI,DPADT00002,PT CLARIANT ADSORBEN INDONESIA JL RAYA NAROGONG KM 14 PANGKALAN 10,DESA LIMUSNUNGGAL BOGOR    , ,30PX12A06XXX,4.00 ,4.0,,,,,,,,,4.00,,,,,,,,,,,,,,,,MANUAL,C0000E,,,
SO03-IDM210800052,1,Y,05/08/2021,DEDE JUNAEDI,CU04612,PT. PROYEKIN BANGUN NEGERI,DPPBN00029,JL JAKARTA RAYA BLOK A2/1 RT.04 RW.10 PERUMAHAN BJI,MEKARSARI    , ,25PX12A06XXX,9.00 ,9.0,,,,,,,,,,,7.00,2.00,,,,,,,,,,,,,MANUAL,C3000D,,,
