S/O No.,S/O Line,Main Batch Plant,Schedule Date,Sales Name,Customer ID,Customer Name,Project ID,Project Location,Project Adress,Project Tel,Product Code,Delivered / Order Volume (M3),1-24Hr,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,UnLoading Method,Term,Remark,Reason
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Of,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Payment,,
PLANT: R01JAT - Jati Asih,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SO03-IDM210800322,1,Y,09/09/2021,DEDE JUNAEDI,CU04558,ADHI-NINDYA KSO,DPANK00003,PENGENDALIAN BANJIR KALI BEKASI PAKET 1,KOTA BEKASI ANDUNG JAWA BARAT    , ,30BX18A06XXX,155.00 ,105.0,,,,,,,,,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,,MANUAL,C3000D,,
SO02-IDM210900029,1,Y,09/09/2021,DEDE JUNAEDI,CU04772,PT. FITAMA PUTRI MANDIRI,DPFPM00007,PEKERJAAN LANJUTAN PENAMBAHAN IPAL BERSAMA UNTUK MENGELOLA SIR SUNGAI,YANG TERCEMAR AIR LINDI KEL SUMUR BATU KEC BANTARGEBANG BEKASI    , ,10PX12A06XXX,81.00 ,12.0,,,,,,,,,12.00,,,,,,,,,,,,,,,,MANUAL,C0000E,,
SO02-IDM210900110,1,Y,09/09/2021,DEDE JUNAEDI,CU04772,PT. FITAMA PUTRI MANDIRI,DPFPM00007,PEKERJAAN LANJUTAN PENAMBAHAN IPAL BERSAMA UNTUK MENGELOLA SIR SUNGAI,YANG TERCEMAR AIR LINDI KEL SUMUR BATU KEC BANTARGEBANG BEKASI    , ,35PX12A06BKS,500.00 ,196.0,,,,,,,,,21.00,28.00,28.00,28.00,28.00,28.00,28.00,7.00,,,,,,,,,CPS,C0000E,,
SO03-IDM210900051,1,Y,09/09/2021,DEDE JUNAEDI,CU04745,CV. CIBALAGUNG INDAH PERSADA,DPCIP00006,"PT RUSLI VINILON SAKTI JL RAYA NAROGONG KM 15,5",KAB BOGOR    , ,30PX12A06XXX,145.00 ,35.0,,,,,,,,,7.00,7.00,7.00,7.00,7.00,,,,,,,,,,,,MANUAL,C3000A,,
SO03-IDM210900093,1,Y,09/09/2021,DEDE JUNAEDI,CU02666,PT JAYA TEKNIK PONDASI,DPJTP00003,WORKSHOP JAYA TEKNIK PONDASI. JL CARINGIN NO 149 KAMPUNG RAWA ROKO,BOJONG RAWA LUMBU BEKASI    , ,50PX12A06PTP,60.00 ,15.0,,,,,,,,,,,,,,5.00,5.00,5.00,,,,,,,,,MANUAL,C3000A,,
SO08-IDM210900008,1,Y,09/09/2021,FERDY WIDASMARA,CU04725,PUTRA NANGGROE ACEH - INTAN CIPTA PERDANA KSO,DPPAC00004,PEMBUATAN DUPLIKASI CROSSING TOLL DAN TARUM BARAT (SALURAN BSK),JAKARTA    , ,35BI18A06XXX,4.00 ,3.0,,,,,,,,,,3.00,,,,,,,,,,,,,,,MANUAL,C3000D,,
SO08-IDM210900015,1,Y,09/09/2021,ANIK JOHARI,CU04772,PT. FITAMA PUTRI MANDIRI,DPFPM00008,KAWASAN IPAL LINDI SUMUR BATU,KOTA BEKASI    , ,35PX12A06XXX,4.00 ,3.0,,,,,,,,,,,,,3.00,,,,,,,,,,,,MANUAL,C0000E,,
SO03-IDM210800376,1,Y,09/09/2021,ANDRY CHRISTIANTO,CU00302,PT PULAUINTAN BAJAPERKASA KONSTRUKSI,DPPBA00074,JL RAYA BOGOR NO 3 CIMANDALA SUKARAJA,BOGOR    , ,40PX12A06P3R,448.55 ,21.0,,,,,,,,,,,,,,,,,,,,,,7.00,7.00,7.00,MANUAL,C3000D,,
SO03-IDM210800179,1,Y,09/09/2021,FERDY WIDASMARA,CU00827,PT DELTA BAJA MASA,DPDBM00023,MULIA RAYA PANGKALAN 6 BEKASI,BEKASI    , ,30PX12A06XXX,738.00 ,28.0,,,,,,,,,,,,,,,,7.00,7.00,7.00,7.00,,,,,,MANUAL,C3000D,,
SO03-IDM210800473,1,Y,09/09/2021,FERDY WIDASMARA,CU02387,PT KHASEA BERSAUDARA HA9NKOE,DRKBH00048,PENINGKATAN JL MERCURIUS VI MENUJU MASJID AL FURQON RW 13 KEL PERWIRA,BEKASI    , ,30MX12A06BKS,99.00 ,35.0,,,,,,,,,,,,,,,,,,,,7.00,7.00,7.00,7.00,7.00,MANUAL,C3000E,,
SO02-IDM210900125,1,Y,09/09/2021,DEDE JUNAEDI,CT01873,BP HERI KUSUMA (NIK 3271040704810022),DRHRK00186,LOCO. BP DIDI HERWANTO BOJONG MENTENG JEMBATAN 15 JATI ASIH,BEKASI    , ,25FI12A06XXX,8.00 ,8.0,,,,,,,,6.00,2.00,,,,,,,,,,,,,,,,MANUAL,C0000E,,
SO02-IDM210900032,1,Y,09/09/2021,FERDY WIDASMARA,CU04773,PT. MULTI CIPTA BANGUN SERASI,DPMCS00012,RUKO DAN PERGUDANGAN MULTI BIZPARK SUMUR BATU,BANTARGEBANG    , ,35PX12A06XXX,50.00 ,7.0,,,,,,,,7.00,,,,,,,,,,,,,,,,,MANUAL,C0000E,,
SO02-IDM210900122,1,Y,09/09/2021,FERDY WIDASMARA,CU04632,PT. LARIS TRIO BERSAUDARA,DPLTB00002,PEMBANGUNAN RUSUN JAWA BARAT 5 KOMP. DEPSOS RT 002 RW 021 MARGAHAYU,KEC. BEKASI TIMUR KOTA BEKASI JAWA BARAT 17113    , ,30PX12A06RDB,43.00 ,7.0,,,,,,,,7.00,,,,,,,,,,,,,,,,,MANUAL,C0000E,,
SO03-IDM210900063,1,Y,09/09/2021,DEDE JUNAEDI,CU04558,ADHI-NINDYA KSO,DPANK00003,PENGENDALIAN BANJIR KALI BEKASI PAKET 1,KOTA BEKASI ANDUNG JAWA BARAT    , ,22PX12A06XXX,1000.00 ,63.0,,,,,,,,,,,,,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,,,,CPS,C3000D,,
