S/O No.,S/O Line,Main Batch Plant,Schedule Date,Sales Name,Customer ID,Customer Name,Project ID,Project Location,Project Adress,Project Tel,Product Code,Order Qty.,Delivered / Order Volume (M3),1-24Hr,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,UnLoading Method,Term,Remark,Reason,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Of,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Payment,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SO02-IDM230100271,1,Y,18/01/2023,DEDE JUNAEDI,CU05549,PT. WADAH MAKMURKENCANA,DPWMU00002,JL. PANGKALAN 2 RT 003 RW 003 CIKIWUL  KEC BANTAR GEBANG,KOTA BEKASI    , ,35FV12A06XXX,33.00 ,33.00 ,33.00,,,,,,,,14.00,14.00,5.00,,,,,,,,,,,,,,,MANUAL,C0000E,,,
SO03-IDM230100141,1,Y,18/01/2023,FERDY WIDASMARA,CU02347,PT ADDEL CIPTA GRAHA,DPACG00057,PEMBANGUNAN RUMAH TINGGAL 4 UNIT DI CLUSTER GARDENIA GOLDEN CITY,BEKASI    , ,22FV12A06XXX,17.00 ,17.00 ,17.00,,,,,,,,,17.00,,,,,,,,,,,,,,,,CPS,C3000D,,,
SO21-IDM221000013,1,Y,18/1/2023,FERDY WIDASMARA,CU01857,PT HAKAASTON,DPHKS00013,REKONSTRUKSI PERKERASAN JALAN TOL JORR-S KM 19+500 - KM 33+800,JORR-S    , ,VIPER45-03,641.55 ,208.55 ,6.00,,,,,,,,,,,,,,,,,,,,,,,6.00,,MANUAL,C9000D,,,
SO11-IDM220700003,1,Y,18/1/2023,FERDY WIDASMARA,CI00004,PT MOTIVE MULIA,CIMTM00420,PEKERJAAN PEMELIHARAAN PERIODIK SCRAPPING FILLING OVERLAY (SFO) & REKONSTRUKSI,PERKERASAN JALAN PADA RUAS JALAN TOL DALAM KOTA DAN SEDYATMO TAHUN 2022    , ,VCTB,125.00 ,115.50 ,6.00,,,,,,,,,,,,,,,,,6.00,,,,,,,,MANUAL,C3000C,,,
SO11-IDM221000003,1,Y,18/1/2023,FERDY WIDASMARA,CI00004,PT MOTIVE MULIA,CIMTM00426,REKONSTRUKSI PERKERASAN JALAN TOL JORR-S KM 19+500 - KM 33+800,JORR-S    , ,BC25XXA06JOR,641.55 ,497.95 ,6.00,,,,,,,,,,,,,,,,6.00,,,,,,,,,MANUAL,C3000C,,,
SO21-IDM221200005,1,Y,18/1/2023,FERDY WIDASMARA,CU04677,PT. MITRA SETYA UTAMA,DPMSU00047,PROYEK RAMP G DAN H JL AL HIDAYAH NO 108 RT 7 RW 02 JATIRANGON JATISAMPURNA,KOTA BEKASI    , ,VIPER45-3D,1100.00 ,274.50 ,6.00,,,,,,,,,,,,,,,,,,,,,,,,6.00,MANUAL,C9000D,,,
SO21-IDM221200007,1,Y,18/01/2023,FERDY WIDASMARA,CU04677,PT. MITRA SETYA UTAMA,DPMSU00047,PROYEK RAMP G DAN H JL AL HIDAYAH NO 108 RT 7 RW 02 JATIRANGON JATISAMPURNA,KOTA BEKASI    , ,VCTB,1000.00 ,258.00 ,6.00,,,,,,,,,,,,,,,,,6.00,,,,,,,,MANUAL,C9000D,,,
SO02-IDM230100276,1,Y,18/01/2023,HERI KUSWANTO,CU04485,PT. INDOPRECAST MITRA KARYA,DPIPM00022,RUMAH TINGGAL JL DR RATNA NO 98A JATIASIH,BEKASI    , ,30FV12A06XXX,10.00 ,10.00 ,10.00,,,,,,,,,,,7.00,3.00,,,,,,,,,,,,,MANUAL,C0000E,,,
SO02-IDM230100267,1,Y,18/01/2023,FERDY WIDASMARA,CU05377,PT. KAPEZTA MULTI MANDIRI,DPKMM00011,PROYEK CLUSTER Z LIVING GRAND WISATA,BEKASI TIMUR    , ,40FI12A06XXX,27.00 ,27.00 ,21.00,,,,,,,,,,,,7.00,7.00,7.00,,,,,,,,,,,MANUAL,C0000E,,,
